objectType,rarity,type,catchable,ap,dp,hpOfPokemon,hpOfPlayer,shiny,catch
pokemon,>7,normal,n,>30,<30,>50,>60,y,n
pokemon,<7,other,y,<30,>30,>50,>60,y,y
pokemon,>7,other,y,<30,>30,>50,>60,y,y
pokemon,<7,normal,y,<30,>30,>50,>60,y,y
pokemon,>7,normal,y,<30,>30,>50,>60,y,y
pokemon,<7,other,n,<30,>30,>50,>60,y,n
pokemon,>7,other,n,<30,>30,>50,>60,y,n
pokemon,<7,normal,n,<30,>30,>50,>60,y,n
pokemon,>7,normal,n,<30,>30,>50,>60,y,n
pokemon,<7,other,y,>30,>30,>50,>60,y,y
pokemon,>7,other,y,>30,>30,>50,>60,y,y
pokemon,<7,normal,y,>30,>30,>50,>60,y,y
pokemon,>7,normal,y,>30,>30,>50,>60,y,y
pokemon,<7,other,n,>30,>30,>50,>60,y,n
pokemon,>7,other,n,>30,>30,>50,>60,y,n
pokemon,<7,normal,n,>30,>30,>50,>60,y,n
pokemon,>7,normal,n,>30,>30,>50,>60,y,n
pokemon,<7,other,y,<30,<30,<50,<60,n,n
pokemon,>7,other,y,<30,<30,<50,<60,n,y
pokemon,<7,normal,y,<30,<30,<50,<60,n,n
pokemon,>7,normal,y,<30,<30,<50,<60,n,y
pokemon,<7,other,n,<30,<30,<50,<60,n,n
pokemon,>7,other,n,<30,<30,<50,<60,n,n
pokemon,<7,normal,n,<30,<30,<50,<60,n,n
pokemon,>7,normal,n,<30,<30,<50,<60,n,n
pokemon,<7,other,y,>30,<30,<50,<60,n,n
pokemon,>7,other,y,>30,<30,<50,<60,n,y
pokemon,<7,normal,y,>30,<30,<50,<60,n,n
pokemon,>7,normal,y,>30,<30,<50,<60,n,y
pokemon,<7,other,n,>30,<30,<50,<60,n,n
pokemon,>7,other,n,>30,<30,<50,<60,n,n
pokemon,<7,normal,n,>30,<30,<50,<60,n,n
pokemon,>7,normal,n,>30,<30,<50,<60,n,n
pokemon,<7,other,y,<30,>30,<50,<60,n,n
pokemon,>7,other,y,<30,>30,<50,<60,n,y
pokemon,<7,normal,y,<30,>30,<50,<60,n,n
pokemon,>7,normal,y,<30,>30,<50,<60,n,y
pokemon,<7,other,n,<30,>30,<50,<60,n,n
pokemon,>7,other,n,<30,>30,<50,<60,n,n
pokemon,<7,normal,n,<30,>30,<50,<60,n,n
pokemon,>7,normal,n,<30,>30,<50,<60,n,n
pokemon,<7,other,y,>30,>30,<50,<60,n,y
pokemon,>7,other,y,>30,>30,<50,<60,n,y
pokemon,<7,normal,y,>30,>30,<50,<60,n,n
pokemon,>7,normal,y,>30,>30,<50,<60,n,y
pokemon,<7,other,n,>30,>30,<50,<60,n,n
pokemon,>7,other,n,>30,>30,<50,<60,n,n
pokemon,<7,normal,n,>30,>30,<50,<60,n,n
pokemon,>7,normal,n,>30,>30,<50,<60,n,n
pokemon,<7,other,y,<30,<30,>50,<60,n,y
pokemon,>7,other,y,<30,<30,>50,<60,n,y
pokemon,<7,normal,y,<30,<30,>50,<60,n,y
pokemon,>7,normal,y,<30,<30,>50,<60,n,y
pokemon,<7,other,n,<30,<30,>50,<60,n,n
pokemon,>7,other,n,<30,<30,>50,<60,n,n
pokemon,<7,normal,n,<30,<30,>50,<60,n,n
pokemon,>7,normal,n,<30,<30,>50,<60,n,n
pokemon,<7,other,y,>30,<30,>50,<60,n,y
pokemon,>7,other,y,>30,<30,>50,<60,n,y
pokemon,<7,normal,y,>30,<30,>50,<60,n,y
pokemon,>7,normal,y,>30,<30,>50,<60,n,y
pokemon,<7,other,n,>30,<30,>50,<60,n,n
pokemon,>7,other,n,>30,<30,>50,<60,n,n
pokemon,<7,normal,n,>30,<30,>50,<60,n,n
pokemon,>7,normal,n,>30,<30,>50,<60,n,n
pokemon,<7,other,y,<30,>30,>50,<60,n,y
pokemon,>7,other,y,<30,>30,>50,<60,n,y
pokemon,<7,normal,y,<30,>30,>50,<60,n,y
pokemon,>7,normal,y,<30,>30,>50,<60,n,y
pokemon,<7,other,n,<30,>30,>50,<60,n,n
pokemon,>7,other,n,<30,>30,>50,<60,n,n
pokemon,<7,normal,n,<30,>30,>50,<60,n,n
pokemon,>7,normal,n,<30,>30,>50,<60,n,n
pokemon,<7,other,y,>30,>30,>50,<60,n,y
pokemon,>7,other,y,>30,>30,>50,<60,n,y
pokemon,<7,normal,y,>30,>30,>50,<60,n,y
pokemon,>7,normal,y,>30,>30,>50,<60,n,y
pokemon,<7,other,n,>30,>30,>50,<60,n,n
pokemon,>7,other,n,>30,>30,>50,<60,n,n
pokemon,<7,normal,n,>30,>30,>50,<60,n,n
pokemon,>7,normal,n,>30,>30,>50,<60,n,n
pokemon,<7,other,y,<30,<30,<50,>60,n,n
pokemon,>7,other,y,<30,<30,<50,>60,n,y
pokemon,<7,normal,y,<30,<30,<50,>60,n,n
pokemon,>7,normal,y,<30,<30,<50,>60,n,y
pokemon,<7,other,n,<30,<30,<50,>60,n,n
pokemon,>7,other,n,<30,<30,<50,>60,n,n
pokemon,<7,normal,n,<30,<30,<50,>60,n,n
pokemon,>7,normal,n,<30,<30,<50,>60,n,n
pokemon,<7,other,y,>30,<30,<50,>60,n,n
pokemon,>7,other,y,>30,<30,<50,>60,n,y
pokemon,<7,normal,y,>30,<30,<50,>60,n,n
pokemon,>7,normal,y,>30,<30,<50,>60,n,y
pokemon,<7,other,n,>30,<30,<50,>60,n,n
pokemon,>7,other,n,>30,<30,<50,>60,n,n
pokemon,<7,normal,n,>30,<30,<50,>60,n,n
pokemon,>7,normal,n,>30,<30,<50,>60,n,n
pokemon,<7,other,y,<30,>30,<50,>60,n,n
pokemon,>7,other,y,<30,>30,<50,>60,n,y
pokemon,<7,normal,y,<30,>30,<50,>60,n,n
pokemon,>7,normal,y,<30,>30,<50,>60,n,y
pokemon,<7,other,n,<30,>30,<50,>60,n,n
pokemon,>7,other,n,<30,>30,<50,>60,n,n
pokemon,<7,normal,n,<30,>30,<50,>60,n,n
pokemon,>7,normal,n,<30,>30,<50,>60,n,n
pokemon,<7,other,y,>30,>30,<50,>60,n,y
pokemon,>7,other,y,>30,>30,<50,>60,n,y
pokemon,<7,normal,y,>30,>30,<50,>60,n,n
pokemon,>7,normal,y,>30,>30,<50,>60,n,y
pokemon,<7,other,n,>30,>30,<50,>60,n,n
pokemon,>7,other,n,>30,>30,<50,>60,n,n
pokemon,<7,normal,n,>30,>30,<50,>60,n,n
pokemon,>7,normal,n,>30,>30,<50,>60,n,n
pokemon,<7,other,y,<30,<30,>50,>60,n,n
pokemon,>7,other,y,<30,<30,>50,>60,n,y
pokemon,<7,normal,y,<30,<30,>50,>60,n,n
pokemon,>7,normal,y,<30,<30,>50,>60,n,y
pokemon,<7,other,n,<30,<30,>50,>60,n,n
pokemon,>7,other,n,<30,<30,>50,>60,n,n
pokemon,<7,normal,n,<30,<30,>50,>60,n,n
pokemon,>7,normal,n,<30,<30,>50,>60,n,n
pokemon,<7,other,y,>30,<30,>50,>60,n,n
pokemon,>7,other,y,>30,<30,>50,>60,n,y
pokemon,<7,normal,y,>30,<30,>50,>60,n,n
pokemon,>7,normal,y,>30,<30,>50,>60,n,y
pokemon,<7,other,n,>30,<30,>50,>60,n,n
pokemon,>7,other,n,>30,<30,>50,>60,n,n
pokemon,<7,normal,n,>30,<30,>50,>60,n,n
pokemon,>7,normal,n,>30,<30,>50,>60,n,n
pokemon,<7,other,y,<30,>30,>50,>60,n,n
pokemon,>7,other,y,<30,>30,>50,>60,n,y
pokemon,<7,normal,y,<30,>30,>50,>60,n,n
pokemon,>7,normal,y,<30,>30,>50,>60,n,y
pokemon,<7,other,n,<30,>30,>50,>60,n,n
pokemon,>7,other,n,<30,>30,>50,>60,n,n
pokemon,<7,normal,n,<30,>30,>50,>60,n,n
pokemon,>7,normal,n,<30,>30,>50,>60,n,n
pokemon,<7,other,y,>30,>30,>50,>60,n,y
pokemon,>7,other,y,>30,>30,>50,>60,n,y
pokemon,<7,normal,y,>30,>30,>50,>60,n,n
pokemon,>7,normal,y,>30,>30,>50,>60,n,y
pokemon,<7,other,n,>30,>30,>50,>60,n,n
pokemon,>7,other,n,>30,>30,>50,>60,n,n
pokemon,<7,normal,n,>30,>30,>50,>60,n,n
pokemon,>7,normal,n,>30,>30,>50,>60,n,n
item,1,heal,y,0,0,0,<60,n,y
item,2,heal,y,0,0,0,>60,n,y
item,1,upgrade,y,0,0,0,<60,n,y
item,2,upgrade,y,0,0,0,>60,n,y
